Cell	Cluster	CellType	NumofReads
SRR1779799	4	GM12878	18248
SRR1779800	4	GM12878	319450
SRR1779801	4	GM12878	50970
SRR1779802	4	GM12878	17958
SRR1779803	4	GM12878	6286
SRR1779804	4	GM12878	89520
SRR1779805	4	GM12878	49858
SRR1779806	4	GM12878	31044
SRR1779807	4	GM12878	15708
SRR1779808	4	GM12878	48084
SRR1779809	3	GM12878	102078
SRR1779810	3	GM12878	36532
SRR1779811	3	GM12878	4692
SRR1779812	3	GM12878	28530
SRR1779813	3	GM12878	43642
SRR1779814	3	GM12878	200566
SRR1779815	4	GM12878	41250
SRR1779816	4	GM12878	13014
SRR1779817	4	GM12878	27048
SRR1779818	4	GM12878	40242
SRR1779819	4	GM12878	5108
SRR1779820	4	GM12878	41866
SRR1779821	4	GM12878	63902
SRR1779822	4	GM12878	4776
SRR1779823	4	GM12878	33750
SRR1779824	4	GM12878	4638
SRR1779825	4	GM12878	47398
SRR1779826	4	GM12878	18456
SRR1779827	4	GM12878	37112
SRR1779828	4	GM12878	78100
SRR1779829	4	GM12878	3642
SRR1779830	4	GM12878	47740
SRR1779831	4	GM12878	7594
SRR1779832	4	GM12878	35968
SRR1779833	4	GM12878	10362
SRR1779834	4	GM12878	19972
SRR1779835	4	GM12878	31442
SRR1779836	4	GM12878	12714
SRR1779837	4	GM12878	167652
SRR1779838	4	GM12878	22280
SRR1779839	4	GM12878	22272
SRR1779840	9	GM12878	42784
SRR1779841	9	GM12878	10546
SRR1779842	9	GM12878	49466
SRR1779843	9	GM12878	18348
SRR1779844	9	GM12878	83780
SRR1779845	9	GM12878	10288
SRR1779846	9	GM12878	100748
SRR1779847	9	GM12878	213316
SRR1779848	9	GM12878	7162
SRR1779849	9	GM12878	53846
SRR1779850	9	GM12878	17262
SRR1779851	9	GM12878	166866
SRR1779852	9	GM12878	71220
SRR1779853	9	GM12878	48492
SRR1779854	9	GM12878	21812
SRR1779855	9	GM12878	16082
SRR1779857	9	GM12878	3810
SRR1779858	9	GM12878	66214
SRR1779859	9	GM12878	45878
SRR1779860	4	GM12878	50210
SRR1779861	4	GM12878	33034
SRR1779862	4	GM12878	21110
SRR1779863	4	GM12878	157760
SRR1779864	4	GM12878	78178
SRR1779865	4	GM12878	2902
SRR1779866	4	GM12878	74276
SRR1779867	4	GM12878	5810
SRR1779868	4	GM12878	39486
SRR1779869	4	GM12878	40982
SRR1779870	4	GM12878	54016
SRR1779871	5	GM12878	1006340
SRR1779872	5	GM12878	71608
SRR1779873	5	GM12878	3200
SRR1779874	5	GM12878	62068
SRR1779875	4	GM12878	18342
SRR1779876	4	GM12878	18838
SRR1779877	4	GM12878	58656
SRR1779878	4	GM12878	27244
SRR1779879	4	GM12878	23698
SRR1779880	4	GM12878	30112
SRR1779881	4	GM12878	4806
SRR1779882	4	GM12878	13468
SRR1779883	4	GM12878	7922
SRR1779884	4	GM12878	29316
SRR1779885	4	GM12878	23046
SRR1779886	4	GM12878	15890
SRR1779887	4	GM12878	3926
SRR1779888	4	GM12878	25632
SRR1779889	4	GM12878	22400
SRR1779890	4	GM12878	14894
SRR1779891	4	GM12878	21088
SRR1779892	4	GM12878	55932
SRR1779893	4	GM12878	18072
SRR1779894	4	GM12878	26600
SRR1779895	4	GM12878	8178
SRR1779896	4	GM12878	40554
SRR1779897	4	GM12878	13136
SRR1779898	4	GM12878	39298
SRR1779899	4	GM12878	22356
SRR1779900	4	GM12878	18084
SRR1779901	4	GM12878	124442
SRR1779902	4	GM12878	50012
SRR1779903	4	GM12878	129468
SRR1779904	4	GM12878	18632
SRR1779905	4	GM12878	9972
SRR1779906	4	GM12878	18590
SRR1779907	4	GM12878	12326
SRR1779908	4	GM12878	59134
SRR1779909	4	GM12878	44942
SRR1779910	4	GM12878	52160
SRR1779911	4	GM12878	3222
SRR1779912	4	GM12878	14814
SRR1779913	4	GM12878	32356
SRR1779914	4	GM12878	65116
SRR1779915	4	GM12878	69254
SRR1779916	4	GM12878	305526
SRR1779917	6	GM12878	14388
SRR1779918	6	GM12878	11566
SRR1779919	6	GM12878	27036
SRR1779920	6	GM12878	19118
SRR1779921	6	GM12878	47508
SRR1779922	6	GM12878	43924
SRR1779923	6	GM12878	22858
SRR1779924	6	GM12878	94018
SRR1779925	6	GM12878	26744
SRR1779926	6	GM12878	16854
SRR1779927	6	GM12878	9100
SRR1779928	6	GM12878	6480
SRR1779929	6	GM12878	28722
SRR1779930	6	GM12878	18408
SRR1779931	6	GM12878	8766
SRR1779932	6	GM12878	12684
SRR1779933	6	GM12878	28872
SRR1779934	6	GM12878	33798
SRR1779935	6	GM12878	17710
SRR1779936	6	GM12878	48484
SRR1779937	6	GM12878	4870
SRR1779938	6	GM12878	13874
SRR1779939	6	GM12878	16896
SRR1779940	6	GM12878	84012
SRR1779941	6	GM12878	60188
SRR1779942	6	GM12878	29054
SRR1779943	6	GM12878	3996
SRR1779944	6	GM12878	38186
SRR1779945	4	GM12878	56674
SRR1779946	4	GM12878	20444
SRR1779947	4	GM12878	45380
SRR1779948	4	GM12878	3556
SRR1779949	4	GM12878	23330
SRR1779950	4	GM12878	71168
SRR1779951	4	GM12878	25360
SRR1779952	4	GM12878	7568
SRR1779953	4	GM12878	9526
SRR1779954	4	GM12878	35374
SRR1779955	4	GM12878	17136
SRR1779956	4	GM12878	34090
SRR1779957	4	GM12878	37668
SRR1779958	4	GM12878	8912
SRR1779959	4	GM12878	33594
SRR1779960	4	GM12878	27878
SRR1779961	4	GM12878	38442
SRR1779962	4	GM12878	33838
SRR1779963	4	GM12878	82992
SRR1779964	4	GM12878	33178
SRR1779965	4	GM12878	28878
SRR1779966	4	GM12878	30560
SRR1779967	4	GM12878	2876
SRR1779968	4	GM12878	699034
SRR1779969	4	GM12878	107858
SRR1779970	4	GM12878	76190
SRR1779971	4	GM12878	21790
SRR1779973	4	GM12878	17658
SRR1779974	4	GM12878	3420
SRR1779975	4	GM12878	89644
SRR1779976	4	GM12878	2876
SRR1779977	4	GM12878	24684
SRR1779978	4	GM12878	20296
SRR1779979	4	GM12878	45886
SRR1779983	4	GM12878	19750
SRR1779984	4	GM12878	24152
SRR1779985	4	GM12878	19210
SRR1779989	4	GM12878	7258
SRR1779990	4	GM12878	28156
SRR1779991	4	GM12878	14676
SRR1779995	4	GM12878	38770
SRR1779996	4	GM12878	14574
SRR1779997	8	GM12878	26146
SRR1779998	8	GM12878	34680
SRR1780001	8	GM12878	9738
SRR1780002	8	GM12878	19844
SRR1780003	8	GM12878	9790
SRR1780007	8	GM12878	23010
SRR1780008	8	GM12878	7432
SRR1780009	8	GM12878	23344
SRR1780010	19	GM12878	29264
SRR1780012	19	GM12878	32510
SRR1780013	19	GM12878	5362
SRR1780014	1	GM12878	18690
SRR1780015	1	GM12878	2804
SRR1780016	1	GM12878	2238
SRR1780017	1	GM12878	36002
SRR1780018	1	GM12878	4218
SRR1780019	1	GM12878	20224
SRR1780020	8	GM12878	15226
SRR1780021	8	GM12878	4936
SRR1780022	8	GM12878	3006
SRR1780023	8	GM12878	4214
SRR1780024	8	GM12878	5860
SRR1780025	8	GM12878	26394
SRR1780026	8	GM12878	16132
SRR1780027	8	GM12878	11216
SRR1780028	8	GM12878	14596
SRR1780029	8	GM12878	2030
SRR1780030	8	GM12878	2026
SRR1780031	8	GM12878	38160
SRR1780032	8	GM12878	13744
SRR1780033	2	GM12878	27470
SRR1780034	2	GM12878	5418
SRR1780035	2	GM12878	5006
SRR1780036	2	GM12878	2784
SRR1780037	2	GM12878	22786
SRR1780038	8	GM12878	35460
SRR1780039	8	GM12878	41874
SRR1780040	8	GM12878	36950
SRR1780041	8	GM12878	47866
SRR1780042	8	GM12878	56826
SRR1780043	8	GM12878	4634
SRR1780044	8	GM12878	3278
SRR1780045	8	GM12878	65868
SRR1780046	8	GM12878	85312
SRR1780047	8	GM12878	6106
SRR1780048	8	GM12878	9112
SRR1780049	8	GM12878	13782
SRR1780050	8	GM12878	148220
SRR1780051	8	GM12878	35884
SRR1780052	8	GM12878	70608
SRR1780053	8	GM12878	81584
SRR1780054	8	GM12878	47856
SRR1780055	8	GM12878	58660
SRR1780056	8	GM12878	9764
SRR1780057	8	GM12878	27784
SRR1780058	8	GM12878	39054
SRR1780059	8	GM12878	8512
SRR1780060	8	GM12878	27762
SRR1780062	8	GM12878	13938
SRR1780063	8	GM12878	10086
SRR1780065	8	GM12878	76666
SRR1780066	8	GM12878	6954
SRR1780166	8	K562	5192
SRR1780168	8	K562	28626
SRR1780170	8	K562	2912
SRR1780172	8	K562	47300
SRR1780174	8	K562	13226
SRR1780176	8	K562	12972
SRR1780178	8	K562	4580
SRR1780180	8	K562	22198
SRR1780182	8	K562	7544
SRR1780184	8	K562	17502
SRR1780186	8	K562	17836
SRR1780188	8	K562	12836
SRR1780190	8	K562	10430
SRR1780192	8	K562	3784
SRR1780194	8	K562	12810
SRR1780196	8	K562	4946
SRR1780198	8	K562	9396
SRR1780200	8	K562	8214
SRR1780202	8	K562	4780
SRR1780204	8	K562	9416
SRR1780206	8	K562	9816
SRR1780208	8	K562	7664
SRR1780210	8	K562	4084
SRR1780212	8	K562	20924
SRR1780214	8	K562	10310
SRR1780216	8	K562	49500
SRR1780218	8	K562	20064
SRR1780220	8	K562	33240
SRR1780222	8	K562	22324
SRR1780224	8	K562	15094
SRR1780226	8	K562	17016
SRR1780228	8	K562	21036
SRR1780230	8	K562	21260
SRR1780232	8	K562	18418
SRR1780234	8	K562	15052
SRR1780236	8	K562	25974
SRR1780238	8	K562	13730
SRR1780240	8	K562	6718
SRR1780242	8	K562	19186
SRR1780244	3	K562	22744
SRR1780246	3	K562	9378
SRR1780248	3	K562	13108
SRR1780250	3	K562	6662
SRR1780252	3	K562	3320
SRR1780254	3	K562	8206
SRR1780256	3	K562	24072
SRR1780258	3	K562	7046
SRR1780260	8	K562	24484
SRR1780262	8	K562	3946
SRR1780264	8	K562	7356
SRR1780266	8	K562	10092
SRR1780268	8	K562	22154
SRR1780270	8	K562	6082
SRR1780272	19	K562	11226
SRR1780274	19	K562	10264
SRR1780276	19	K562	7800
SRR1780278	19	K562	23952
SRR1780280	19	K562	11398
SRR1780282	11	K562	25452
SRR1780284	11	K562	42188
SRR1780286	11	K562	12268
SRR1780288	11	K562	5778
SRR1780290	11	K562	15672
SRR1780292	11	K562	22642
SRR1780294	11	K562	8790
SRR1780296	11	K562	9348
SRR1780298	11	K562	16266
SRR1780300	11	K562	8118
SRR1780302	11	K562	23558
SRR1780304	11	K562	39216
SRR1780306	11	K562	22428
SRR1780308	11	K562	25452
SRR1780310	11	K562	156790
SRR1780312	8	K562	24256
SRR1780314	5	K562	34808
SRR1780316	5	K562	8412
SRR1780318	5	K562	8896
SRR1780320	5	K562	15158
SRR1780324	19	K562	16862
SRR1780326	19	K562	8868
SRR1780328	19	K562	18794
SRR1780330	19	K562	9830
SRR1780332	19	K562	16416
SRR1780334	19	K562	8830
SRR1780336	19	K562	10144
SRR1780338	19	K562	11760
SRR1780340	19	K562	10524
SRR1780342	19	K562	5460
SRR1780344	19	K562	10354
SRR1780348	19	K562	16936
SRR1780352	19	K562	34320
SRR1780354	7	K562	8524
SRR1780356	7	K562	13374
SRR1780358	7	K562	6984
SRR1780360	7	K562	10612
SRR1780362	7	K562	4244
SRR1780366	7	K562	10422
SRR1780370	7	K562	2288
SRR1780374	7	K562	11318
SRR1780376	7	K562	4790
SRR1780380	7	K562	7588
SRR1780384	7	K562	4794
SRR1780386	7	K562	5728
SRR1780388	7	K562	10574
SRR1780390	7	K562	9630
SRR1780392	7	K562	3182
SRR1780396	7	K562	4348
SRR1780400	7	K562	8642
SRR1780402	7	K562	7952
SRR1780404	7	K562	12356
SRR1780406	19	K562	17666
SRR1780408	8	K562	13218
SRR1780410	8	K562	2670
SRR1780416	8	K562	3644
SRR1780418	8	K562	17156
SRR1780420	8	K562	33792
SRR1780422	8	K562	14414
SRR1780424	8	K562	18314
SRR1780428	8	K562	10052
SRR1780430	8	K562	7728
SRR1780432	8	K562	4604
SRR1780434	8	K562	10654
SRR1780436	8	K562	11214
SRR1780438	8	K562	8464
SRR1780440	8	K562	12786
SRR1780444	8	K562	7122
SRR1780446	8	K562	17022
SRR1780448	8	K562	8922
SRR1780450	8	K562	7730
SRR1780452	8	K562	15938
SRR1780454	8	K562	17176
SRR1780456	8	K562	8324
SRR1780458	8	K562	47648
SRR1780460	8	K562	17476
SRR1780462	8	K562	10806
SRR1780466	8	K562	19564
SRR1780470	8	K562	22042
SRR1780472	8	K562	13264
SRR1780474	8	K562	13754
SRR1780478	8	K562	8766
SRR1780480	14	K562	14798
SRR1780482	14	K562	9538
SRR1780484	14	K562	5736
SRR1780494	14	K562	12064
SRR1780496	14	K562	8460
SRR1780498	14	K562	11794
SRR1780500	14	K562	11584
SRR1780502	14	K562	7870
SRR1780504	14	K562	11538
SRR1780506	14	K562	7526
SRR1780508	14	K562	5500
SRR1780510	14	K562	6802
SRR1780512	14	K562	7676
SRR1780514	14	K562	7866
SRR1780518	14	K562	17040
SRR1780520	1	K562	23698
SRR1780522	1	K562	4858
SRR1780528	1	K562	9374
SRR1780530	3	K562	6524
SRR1780534	3	K562	4830
SRR1780536	3	K562	7088
SRR1780538	3	K562	13842
SRR1780544	3	K562	5250
SRR1780550	3	K562	11106
SRR1780552	1	K562	10078
SRR1780556	1	K562	24556
SRR1780558	1	K562	6998
SRR1780560	1	K562	8854
SRR1780562	1	K562	6064
SRR1780564	1	K562	5466
SRR1780566	5	K562	3002
SRR1780568	5	K562	3934
SRR1780570	5	K562	13570
SRR1780572	5	K562	4714
SRR1780574	5	K562	5192
SRR1780580	5	K562	3142
SRR1780582	5	K562	5210
SRR1780584	4	K562	9358
SRR1780586	4	K562	2438
SRR1780590	4	K562	4342
SRR1780594	4	K562	11230
SRR1780596	4	K562	12680
SRR1780598	4	K562	12022
SRR1780602	8	K562	9298
SRR1780604	8	K562	16992
SRR1780614	8	K562	11562
SRR1780616	8	K562	6728
SRR1780618	8	K562	18424
SRR1780620	8	K562	18600
SRR1780622	15	K562	3628
SRR1780624	15	K562	16540
SRR1780626	15	K562	4858
SRR1780628	15	K562	13688
SRR1780630	15	K562	5776
SRR1780632	15	K562	3256
SRR1780634	15	K562	4746
SRR1780636	15	K562	7176
SRR1780638	15	K562	6380
SRR1780640	15	K562	5206
SRR1780642	15	K562	10672
SRR1780644	15	K562	15898
SRR1780646	15	K562	10038
SRR1780648	15	K562	22202
SRR1780650	15	K562	2426
SRR1780652	15	K562	11386
SRR1780654	15	K562	6268
SRR1780656	3	K562	3056
SRR1780664	3	K562	7364
SRR1780666	3	K562	19534
SRR1780668	3	K562	15544
SRR1780670	3	K562	17184
SRR1780672	3	K562	19760
SRR1780674	3	K562	3504
SRR1780676	3	K562	20338
SRR1780682	3	K562	17836
SRR1780684	3	K562	6558
SRR1780686	3	K562	6602
SRR1780688	3	K562	10062
SRR1780690	3	K562	9296
SRR1780692	3	K562	18470
SRR1780694	13	K562	10986
SRR1780696	13	K562	18064
SRR1780698	13	K562	5452
SRR1780700	13	K562	5580
SRR1780702	13	K562	3040
SRR1780704	13	K562	12024
SRR1780708	13	K562	3860
SRR1780712	13	K562	3830
SRR1780714	13	K562	16702
SRR1780718	13	K562	4708
SRR1780726	13	K562	4790
SRR1780730	13	K562	6724
SRR1780732	13	K562	3768
SRR1780736	13	K562	8948
SRR1780738	13	K562	21470
SRR1781027	13	TF1	31580
SRR1781028	13	TF1	26606
SRR1781029	13	TF1	136448
SRR1781030	13	TF1	60604
SRR1781031	13	TF1	73806
SRR1781032	17	TF1	7234
SRR1781033	17	TF1	29424
SRR1781034	17	TF1	116092
SRR1781035	17	TF1	5632
SRR1781036	17	TF1	40074
SRR1781037	17	TF1	19658
SRR1781038	17	TF1	10466
SRR1781039	17	TF1	53302
SRR1781040	17	TF1	17688
SRR1781041	17	TF1	48980
SRR1781042	17	TF1	52064
SRR1781043	17	TF1	25014
SRR1781044	3	TF1	51096
SRR1781045	3	TF1	10660
SRR1781046	3	TF1	18770
SRR1781047	3	TF1	3750
SRR1781048	3	TF1	62012
SRR1781049	3	TF1	52362
SRR1781050	3	TF1	56878
SRR1781051	3	TF1	6860
SRR1781052	3	TF1	70538
SRR1781053	3	TF1	75012
SRR1781054	3	TF1	29362
SRR1781055	3	TF1	72414
SRR1781056	3	TF1	81830
SRR1781057	3	TF1	19568
SRR1781058	3	TF1	67580
SRR1781059	3	TF1	39278
SRR1781060	3	TF1	25404
SRR1781061	3	TF1	4912
SRR1781062	3	TF1	52342
SRR1781063	3	TF1	19872
SRR1781064	3	TF1	7668
SRR1781065	3	TF1	13846
SRR1781066	3	TF1	45006
SRR1781067	3	TF1	79730
SRR1781068	3	TF1	35958
SRR1781069	5	TF1	51410
SRR1781070	3	TF1	53568
SRR1781071	3	TF1	56354
SRR1781072	3	TF1	131606
SRR1781073	3	TF1	111386
SRR1781074	18	TF1	108772
SRR1781075	18	TF1	8928
SRR1781076	18	TF1	17080
SRR1781077	18	TF1	49018
SRR1781078	18	TF1	58844
SRR1781079	18	TF1	49206
SRR1781080	18	TF1	8754
SRR1781081	18	TF1	56696
SRR1781082	18	TF1	45280
SRR1781083	18	TF1	10534
SRR1781084	18	TF1	49252
SRR1781085	18	TF1	7800
SRR1781086	18	TF1	501714
SRR1781087	3	TF1	114986
SRR1781088	3	TF1	5458
SRR1781089	3	TF1	14840
SRR1781090	16	TF1	34418
SRR1781091	16	TF1	28738
SRR1781092	16	TF1	68892
SRR1781093	16	TF1	6444
SRR1781094	16	TF1	40286
SRR1781095	16	TF1	36886
SRR1781096	16	TF1	56570
SRR1781097	16	TF1	102604
SRR1781098	16	TF1	76278
SRR1781099	16	TF1	42186
SRR1781100	16	TF1	66862
SRR1781101	16	TF1	162994
SRR1781102	3	TF1	33446
SRR1781103	3	TF1	42030
SRR1781104	3	TF1	45808
SRR1781105	3	TF1	7388
SRR1781106	3	TF1	65954
SRR1781107	3	TF1	46084
SRR1781108	3	TF1	6132
SRR1781109	3	TF1	6232
SRR1781110	3	TF1	8270
SRR1781111	3	TF1	14110
SRR1781112	3	TF1	10262
SRR1781113	3	TF1	71536
SRR1781114	3	TF1	33004
SRR1781115	3	TF1	6654
SRR1781116	3	TF1	33376
SRR1781117	3	TF1	19650
SRR1781118	3	TF1	14912
SRR1781119	3	TF1	48962
SRR1781120	3	TF1	73192
SRR1781121	3	TF1	7368
SRR1781122	3	TF1	154514
SRR1781123	5	HL60	151580
SRR1781124	3	HL60	90260
SRR1781125	3	HL60	43808
SRR1781126	3	HL60	438250
SRR1781127	3	HL60	36720
SRR1781128	3	HL60	42802
SRR1781129	3	HL60	455036
SRR1781130	3	HL60	11946
SRR1781131	3	HL60	47432
SRR1781132	5	HL60	62782
SRR1781133	5	HL60	51212
SRR1781134	5	HL60	15524
SRR1781135	3	HL60	322632
SRR1781136	3	HL60	25582
SRR1781137	3	HL60	40060
SRR1781138	3	HL60	76872
SRR1781139	3	HL60	36084
SRR1781140	3	HL60	32670
SRR1781141	3	HL60	22622
SRR1781142	3	HL60	30512
SRR1781143	3	HL60	32872
SRR1781144	3	HL60	23738
SRR1781145	3	HL60	28672
SRR1781146	3	HL60	27414
SRR1781147	3	HL60	33804
SRR1781148	3	HL60	65830
SRR1781149	3	HL60	37588
SRR1781150	3	HL60	42834
SRR1781151	3	HL60	36754
SRR1781152	3	HL60	545016
SRR1781153	3	HL60	210740
SRR1781154	3	HL60	25658
SRR1781155	3	HL60	63920
SRR1781156	3	HL60	60506
SRR1781157	3	HL60	78196
SRR1781158	3	HL60	47962
SRR1781159	3	HL60	42468
SRR1781160	3	HL60	45730
SRR1781161	3	HL60	73222
SRR1781162	3	HL60	50178
SRR1781163	3	HL60	120312
SRR1781164	5	HL60	665100
SRR1781165	1	HL60	15316
SRR1781166	1	HL60	39186
SRR1781167	1	HL60	80440
SRR1781168	1	HL60	84596
SRR1781169	1	HL60	54494
SRR1781170	1	HL60	60304
SRR1781171	1	HL60	31470
SRR1781172	1	HL60	103472
SRR1781173	1	HL60	3146
SRR1781174	1	HL60	261846
SRR1781175	1	HL60	38898
SRR1781176	1	HL60	30484
SRR1781177	1	HL60	58918
SRR1781178	1	HL60	143748
SRR1781179	1	HL60	22400
SRR1781180	1	HL60	47070
SRR1781181	5	HL60	880498
SRR1781182	1	HL60	158060
SRR1781183	1	HL60	255728
SRR1781184	1	HL60	45110
SRR1781185	1	HL60	37514
SRR1781186	1	HL60	2604
SRR1781187	1	HL60	36308
SRR1781188	1	HL60	144914
SRR1781189	1	HL60	9498
SRR1781190	1	HL60	21274
SRR1781191	1	HL60	40408
SRR1781192	1	HL60	100470
SRR1781193	1	HL60	28442
SRR1781194	1	HL60	64026
SRR1781195	1	HL60	62426
